id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
695	"american university of sharjah, sharjah, united arab emirates"	-0.7786	-0.379	10	3	3	7	95	8.7872	2020.2857	13.5714	1.2553
1007	"arizona state university, tempe, az, united states"	-0.7832	-0.3832	10	1	1	5	119	8.8764	2018.8	23.8	1.7753
1008	"arizona state university, united states"	1.429	-0.0255	9	2	2	10	409	37.1061	2018.4	40.9	3.7106
1308	"babson college, babson park, ma, united states"	-1.1208	-0.0873	11	3	3	12	148	15.934	2020.5	12.3333	1.3278
1693	"birmingham city university, birmingham, united kingdom"	-0.6103	-0.0838	3	1	1	5	87	5.4904	2019	17.4	1.0981
1870	"brigham young university, united states"	0.7497	-0.0101	4	1	1	5	10	1.1364	2019.8	2	0.2273
2054	"business and information technology, missouri university of science and technology, rolla, mo, united states"	-0.6438	1.6733	12	2	26	13	2	0.1899	2021	0.1538	0.0146
2602	"cefeo (centre for family entrepreneurship and ownership), jönköping international business school, jönköping, sweden"	-0.9531	-0.1687	7	3	3	7	86	26.5571	2023	12.2857	3.7939
4851	"concordia university, montreal, qc, canada"	-0.1299	0.1214	5	1	1	5	83	9.0262	2021.6	16.6	1.8052
5175	"d'amore-mckim school of business, northeastern university, united states"	1.0647	-0.0209	1	1	1	6	87	5.6499	2015.3333	14.5	0.9416
5262	"dcu business school, dublin city university, dublin, ireland"	-0.7316	-0.1155	3	4	4	8	70	22.1475	2022.25	8.75	2.7684
7729	"department of economics and business, university of catania, catania, italy"	-1.0977	-0.1972	7	2	2	12	38	4.8786	2021.25	3.1667	0.4066
7821	"department of economics and management, university of trento, trento, italy"	-0.1735	-0.0866	8	1	1	7	43	8.7986	2021.8571	6.1429	1.2569
8020	"department of economics, society, politics, university of urbino carlo bo, urbino, italy"	-1.135	-0.2052	7	1	2	5	10	0.6078	2020.8	2	0.1216
8349	"department of entrepreneurship and strategy, lancaster university management school, lancaster, united kingdom"	-0.8948	-0.1485	3	6	8	9	105	19.8724	2022.2222	11.6667	2.208
9896	"department of management and information systems, mississippi state university, united states"	0.9035	-0.0104	13	4	4	5	426	20.9355	2015.4	85.2	4.1871
10256	"department of management, economics and quantitative methods, university of bergamo, bergamo, italy"	-1.1275	-0.2036	7	2	3	5	33	2.565	2020	6.6	0.513
12596	"department of strategy and general management, esade business school, sant cugat del vallès, spain"	-0.942	-0.1551	3	2	6	7	1	0.177	2022	0.1429	0.0253
13241	"diponegoro university, indonesia"	0.8905	-0.1057	14	2	4	6	1	0.0949	2023.1667	0.1667	0.0158
13729	"d’amore-mckim school of business, northeastern university, boston, ma, united states"	-0.5612	-0.0759	3	2	4	8	57	8.1526	2020.875	7.125	1.0191
14310	"esade business school, barcelona, spain"	-0.1297	0.1196	5	2	2	6	220	13.9829	2017.3333	36.6667	2.3305
15396	"faculty of economics and management, free university of bozen-bolzano, bolzano, italy"	-0.7484	-0.125	3	5	5	7	374	47.6331	2022.5714	53.4286	6.8047
16518	"florida atlantic university, boca raton, fl, united states"	-0.1197	0.0462	5	8	11	10	259	24.0903	2019.5	25.9	2.409
16656	"free university of bozen-bolzano, bolzano, italy"	-0.4895	-0.0616	2	18	33	17	586	59.4845	2021.0588	34.4706	3.4991
16673	"free university of bozen-bolzano, italy"	1.0035	-0.0227	1	9	22	15	441	56.226	2021.9333	29.4	3.7484
17682	"harvard university, united states"	1.4607	-0.0258	9	2	2	8	76	30.0973	2019.75	9.5	3.7622
