id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
12	afghanistan	-0.6822	-0.3251	1	6	6	5	15	0.8998	2019.8	3	0.18
18	albania	0.8899	-0.654	9	2	3	16	16	4.3909	2021.6875	1	0.2744
19	algeria	-0.2132	-0.6219	1	3	4	6	37	2.6569	2019.1667	6.1667	0.4428
21	amp	0.2884	-0.4434	2	13	19	9	7	9.602	2024	0.7778	1.0669
24	argentina	1.2144	0.3593	4	21	46	54	514	47.7259	2020.463	9.5185	0.8838
26	armenia	0.9785	-0.2127	6	2	2	5	6	4.8058	2020.4	1.2	0.9612
30	australia	-0.423	0.3691	8	76	767	944	14288	1427.6202	2019.8157	15.1356	1.5123
31	austria	0.2738	0.0804	10	48	216	248	4930	428.5257	2019.7339	19.879	1.7279
33	bahrain	-0.3706	-0.6948	1	12	17	22	93	10.3068	2021.4091	4.2273	0.4685
35	bangladesh	-0.6578	-0.4883	1	28	111	108	3276	331.2191	2021.0463	30.3333	3.0668
36	barbados	-0.6852	1.323	8	3	3	6	51	4.4936	2020.1667	8.5	0.7489
39	belarus	0.7432	-0.2065	6	7	10	12	96	7.0228	2020.4167	8	0.5852
40	belgium	0.3607	0.0764	7	48	270	189	3261	294.8916	2020.127	17.254	1.5603
41	benin	-0.8522	0.4657	3	4	4	5	4	0.5492	2022.4	0.8	0.1098
46	bosnia and herzegovina	0.0474	-0.5793	2	15	28	23	186	19.1745	2020.5652	8.087	0.8337
47	botswana	-1.3973	-0.0992	3	3	4	7	144	16.1439	2018.8571	20.5714	2.3063
48	brazil	0.4746	0.124	2	35	151	375	2887	264.4306	2019.9893	7.6987	0.7051
49	brunei darussalam	-0.4192	-0.6757	1	7	7	6	277	24.1524	2021.1667	46.1667	4.0254
50	bulgaria	0.4083	-0.2927	6	18	21	45	113	11.0053	2020.8	2.5111	0.2446
57	cambodia	-0.9975	1.2208	8	4	8	6	34	4.397	2020.1667	5.6667	0.7328
59	cameroon	-0.8916	0.2753	3	11	11	10	56	6.0236	2020.2	5.6	0.6024
60	canada	-0.2525	0.1561	3	75	762	702	12616	1146.0385	2019.8177	17.9715	1.6325
66	chile	1.236	0.453	4	29	153	152	1760	177.6832	2020.5066	11.5789	1.169
67	china	-0.3073	0.1024	5	73	994	1623	17331	2132.7133	2020.8182	10.6784	1.3141
69	colombia	1.3092	0.4951	4	28	129	201	1124	112.24	2019.9204	5.592	0.5584
75	costa rica	1.4798	0.5963	4	7	8	13	273	22.6097	2019.4615	21	1.7392
77	croatia	0.1646	-0.5409	2	31	67	107	816	125.3671	2020.0748	7.6262	1.1717
78	cuba	1.4294	0.4678	4	6	13	10	55	4.5598	2019.3	5.5	0.456
80	cyprus	0.2153	-0.6117	9	40	109	70	972	114.9164	2021.2286	13.8857	1.6417
81	czech republic	0.2456	-0.4527	2	30	99	202	1422	190.3836	2019.9257	7.0396	0.9425
86	denmark	0.1457	0.1396	10	37	170	133	2254	199.27	2019.7218	16.9474	1.4983
90	ecuador	1.3747	0.4427	4	21	77	104	368	68.4325	2021.0481	3.5385	0.658
91	egypt	-0.0949	-0.4385	1	33	91	81	618	85.7945	2021.1481	7.6296	1.0592
98	estonia	0.4543	-0.2003	6	18	42	36	947	81.4483	2019.5278	26.3056	2.2625
99	ethiopia	-0.5532	0.1856	3	29	50	67	352	57.8753	2021.8806	5.2537	0.8638
102	fiji	-0.6938	1.3158	8	6	9	7	92	9.7355	2021.1429	13.1429	1.3908
103	finland	0.0267	0.1357	7	43	163	204	3821	310.4836	2019.8039	18.7304	1.522
105	france	0.0792	-0.0722	1	80	789	646	10746	1143.3079	2020.0526	16.6347	1.7698
108	georgia	-0.665	-0.7425	1	7	9	9	110	9.5565	2019.4444	12.2222	1.0618
110	germany	0.1045	0.2369	10	77	780	898	14599	1313.901	2019.931	16.2572	1.4631
111	ghana	-0.7592	0.3419	3	35	91	116	830	92.7117	2020.4914	7.1552	0.7992
114	greece	0.6288	-0.5419	9	30	99	180	2392	233.7098	2020.4778	13.2889	1.2984
117	guatemala	1.1985	0.607	7	6	10	9	68	4.6817	2018.6667	7.5556	0.5202
125	honduras	1.4466	0.597	4	6	11	9	26	1.9517	2019.8889	2.8889	0.2169
126	hong kong	-0.3866	0.3275	5	31	196	174	3176	252.4323	2019.6954	18.2529	1.4508
127	hungary	0.139	-0.3134	2	37	71	98	598	81.9374	2020.8673	6.102	0.8361
128	iceland	0.198	0.3388	7	9	11	10	157	13.7747	2019.7	15.7	1.3775
134	india	-0.2603	-0.1824	1	78	556	1590	11682	1413.6877	2020.9094	7.3472	0.8891
135	indonesia	-0.3591	-0.2412	1	41	167	669	2446	292.0366	2020.867	3.6562	0.4365
143	iran	-0.0839	-0.3865	2	35	82	104	1230	146.0271	2020.625	11.8269	1.4041
144	iraq	-0.0003	-0.4573	1	21	40	32	312	59.5685	2022.2188	9.75	1.8615
145	ireland	0.0171	-0.0179	7	34	140	126	1758	261.6902	2020.6746	13.9524	2.0769
146	israel	0.173	-0.1819	7	32	77	84	616	59.1895	2020.0119	7.3333	0.7046
147	italy	0.5411	-0.0087	9	74	998	1087	22307	2219.4712	2020.0534	20.5216	2.0418
149	jamaica	-0.6884	1.3213	8	6	7	9	48	5.0916	2020.2222	5.3333	0.5657
150	japan	-0.6614	0.3801	5	41	136	221	1372	139.8647	2019.991	6.2081	0.6329
151	jordan	-0.3588	-0.6434	1	31	81	82	607	113.6967	2021.8171	7.4024	1.3865
157	kazakhstan	0.381	-0.3161	6	17	26	27	202	41.5691	2020.6667	7.4815	1.5396
159	kenya	-0.8688	0.2431	3	21	50	45	286	27.7854	2020.7111	6.3556	0.6175
163	kuwait	0.0388	-0.6788	2	12	25	24	433	32.6639	2019.4583	18.0417	1.361
169	latvia	0.3418	-0.2994	6	5	8	25	120	12.2143	2021.4	4.8	0.4886
170	lebanon	-0.1732	-0.6171	1	25	84	74	1062	117.4162	2020.3919	14.3514	1.5867
174	libya	-0.1597	-0.9	9	3	6	5	13	4.3285	2023.2	2.6	0.8657
175	liechtenstein	0.2694	0.5514	10	13	34	16	677	41.1883	2018.5	42.3125	2.5743
178	lithuania	0.3038	-0.3403	6	27	50	49	449	49.5458	2019.9796	9.1633	1.0111
181	luxembourg	0.722	0.0688	4	17	30	17	370	36.3899	2020.1176	21.7647	2.1406
182	macao	-0.2644	0.039	5	16	36	22	313	69.0128	2020.5455	14.2273	3.1369
185	malawi	-0.7797	0.2844	3	10	13	9	32	2.9603	2019.8889	3.5556	0.3289
186	malaysia	-0.3683	-0.4077	1	64	374	526	5552	557.2183	2020.3973	10.5551	1.0594
189	malta	0.1359	-0.3885	2	10	16	10	155	16.6605	2020.3	15.5	1.666
193	mauritius	-1.1626	-0.0468	3	1	1	12	101	5.9726	2019.0833	8.4167	0.4977
195	mexico	1.0924	0.4205	4	41	184	286	2057	213.1518	2020.0035	7.1923	0.7453
198	monaco	0.1777	0.3884	7	13	24	7	28	24.0711	2022.7143	4	3.4387
200	montenegro	0.1995	-0.6534	2	4	5	13	132	10.1352	2019.5385	10.1538	0.7796
201	morocco	0.0788	-0.3731	2	25	58	89	826	88.4872	2020.8652	9.2809	0.9942
203	myanmar	-0.9579	0.6055	5	2	5	11	65	5.4955	2020.3636	5.9091	0.4996
206	nepal	-0.7215	0.6695	5	10	21	23	125	10.521	2019.6522	5.4348	0.4574
207	netherlands	-0.0474	0.0818	7	65	377	294	5992	576.1016	2020.0442	20.381	1.9595
209	new zealand	-0.5016	0.8551	8	30	89	154	2145	186.1295	2019.4221	13.9286	1.2086
212	nigeria	-0.8051	0.1966	3	25	78	158	803	72.4061	2020.3101	5.0823	0.4583
214	north macedonia	0.0392	-0.626	2	22	70	55	1113	94.8373	2019.7273	20.2364	1.7243
216	norway	0.2204	0.0377	7	49	159	139	3632	341.2487	2019.8849	26.1295	2.455
220	oman	-0.2843	-0.5386	1	29	78	64	588	89.3908	2021.3906	9.1875	1.3967
223	pakistan	-0.4554	-0.4397	1	49	207	205	2497	311.3917	2020.8146	12.1805	1.519
224	palestine	-0.3324	-0.6761	1	6	9	16	38	7.2237	2021.375	2.375	0.4515
229	peru	1.1877	0.5229	4	23	71	97	541	91.7527	2021.4742	5.5773	0.9459
231	philippines	-0.6069	0.3757	5	14	32	85	377	38.8231	2020.5176	4.4353	0.4567
232	poland	0.1881	-0.2725	2	59	212	295	2174	245.5397	2020.1525	7.3695	0.8323
233	portugal	0.2664	-0.1196	2	49	186	302	2893	373.3155	2020.3907	9.5795	1.2361
240	qatar	-0.3171	-0.2252	1	16	42	42	587	50.2153	2020.4048	13.9762	1.1956
246	romania	0.0859	-0.2715	2	41	70	106	863	110.6559	2020.0755	8.1415	1.0439
247	russian federation	0.5912	-0.2243	6	50	162	456	1741	210.0681	2020.4452	3.818	0.4607
250	saudi arabia	-0.2541	-0.4563	1	49	214	180	2531	317.9817	2021.3667	14.0611	1.7666
252	school	0.9917	0.822	10	5	14	8	175	29.3902	2017.75	21.875	3.6738
257	serbia	0.1514	-0.6166	2	21	40	55	351	45.6433	2020.2545	6.3818	0.8299
261	singapore	-0.3285	0.4775	5	30	123	115	2214	184.8864	2019.7391	19.2522	1.6077
262	slovakia	0.2654	-0.5549	2	19	62	101	863	88.2064	2020.7129	8.5446	0.8733
263	slovenia	0.1432	-0.4724	2	22	38	67	537	52.4595	2019.5821	8.0149	0.783
267	south africa	-0.8966	-0.0339	3	52	193	289	1784	228.7155	2020.3253	6.173	0.7914
268	south korea	-0.399	0.0157	5	45	159	253	2825	278.0614	2019.8419	11.166	1.0991
270	spain	0.919	0.1742	4	65	643	1006	12959	1272.9386	2019.9702	12.8817	1.2653
272	sri lanka	-0.6068	-0.2805	1	17	34	43	231	33.5759	2020.8837	5.3721	0.7808
278	sweden	-0.0448	0.5174	8	55	402	353	5462	577.738	2019.949	15.4731	1.6367
279	switzerland	0.1435	0.5735	10	62	454	276	6340	630.2292	2020.2283	22.971	2.2834
283	taiwan	-0.1665	0.0955	5	41	157	257	3506	316.3794	2019.6848	13.642	1.231
284	tanzania	-0.841	0.3107	3	17	34	47	447	43.0854	2020.2979	9.5106	0.9167
286	thailand	-0.5633	0.7144	8	42	135	204	1030	128.0821	2020.5049	5.049	0.6279
292	trinidad and tobago	-0.6831	1.3158	8	4	4	5	25	1.5554	2019.4	5	0.3111
293	tunisia	-0.1841	-0.5586	1	18	41	63	825	77.0568	2020.381	13.0952	1.2231
294	turkey	0.0461	-0.3909	2	51	156	305	2449	269.0452	2020.577	8.0295	0.8821
295	uganda	-0.914	0.2738	3	12	22	22	227	18.9197	2019.8182	10.3182	0.86
296	ukraine	0.4055	-0.3165	6	17	31	137	410	51.7057	2021.4964	2.9927	0.3774
297	united arab emirates	-0.054	-0.343	1	56	244	219	2873	330.2418	2020.5662	13.1187	1.508
298	united kingdom	-0.0535	0.0257	9	98	1713	1679	29786	2883.153	2019.8273	17.7403	1.7172
299	united states	-0.1394	0.1849	5	101	2068	4019	63696	5432.7302	2019.4541	15.8487	1.3518
313	uruguay	1.0937	0.3143	4	8	9	15	51	5.6211	2020.2	3.4	0.3747
314	uzbekistan	0.1356	-0.2549	6	18	31	34	90	54.7739	2022.4706	2.6471	1.611
316	venezuela	1.4791	0.5227	4	10	33	28	121	8.4884	2018.8929	4.3214	0.3032
317	viet nam	-0.3459	0.2495	5	42	119	129	841	151.8014	2021.6589	6.5194	1.1768
321	yemen	-0.3984	-0.7056	1	6	11	7	96	10.3728	2021.8571	13.7143	1.4818
324	zimbabwe	-0.9862	-0.1365	3	7	17	25	110	15.0983	2021.36	4.4	0.6039
