id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
17	'current	1.13	-0.1351	4	134	211	41	2022.3659	8.122	1.9519
636	"adaptation, psychological"	-0.9374	-0.144	1	164	328	16	2018.6875	13.0625	1.1075
753	administrative personnel	-0.2427	-0.6926	1	177	317	18	2019.9444	11.7778	1.0083
764	adolescent	-0.9488	0.1343	3	589	3278	155	2019.6065	11.9032	0.9744
788	adoption	0.0005	0.1322	2	168	265	27	2019.8519	11.1111	1.0212
823	adult	-0.7227	0.0741	3	777	10796	557	2019.9425	11.605	0.9652
847	advanced analytics	1.3008	0.0374	4	235	1203	161	2020.2919	16.9503	1.6438
908	advertising	0.3544	-0.3492	4	229	455	62	2020.3226	9.5323	0.972
931	advertizing	1.0241	-0.5329	4	119	207	27	2022.2963	6.7037	0.7913
1029	africa	-0.1552	0.4079	2	230	431	61	2019.8033	15.6066	1.4149
1038	african american	-0.5262	-0.4295	1	156	232	11	2019.0909	9.9091	0.7657
1094	age	-0.7637	0.4937	3	299	766	47	2019.9787	14.2766	1.1794
1101	age factors	-0.8639	0.4777	3	156	313	14	2018.1429	13.1429	0.9297
1115	aged	-0.8673	-0.0449	3	582	3205	151	2019.755	14.0265	1.0562
1118	"aged, 80 and over"	-1.0633	-0.1961	3	321	1002	43	2018.5349	25.7674	1.6004
1119	ageing	-0.2734	0.3655	3	119	198	13	2020.3077	15.8462	1.3001
1138	agency theory	0.7923	0.7302	2	57	147	70	2020	14.8	1.2752
1199	aging	-0.4256	0.1831	3	270	615	36	2020.3056	24.5833	1.5645
1332	agricultural land	-0.1524	0.6723	2	232	496	43	2020.7442	8.186	0.9472
1373	agricultural robots	0.6075	0.1531	2	130	251	43	2019.6047	10.5116	0.9466
1398	agricultural worker	-0.2241	0.6449	2	350	958	70	2020.1	13.7857	1.115
1400	agriculture	0.3129	0.2512	2	471	1429	206	2019.7573	13.3835	1.0311
1471	agroindustry	0.419	0.5953	2	102	171	36	2019.6667	13.25	1.2203
1482	ai	0.6766	-0.3348	4	110	159	28	2022.25	13.2857	2.0755
1645	alcohol consumption	-0.8376	0.0661	3	179	340	15	2020.6	41.8	2.7191
1677	algorithm	0.4304	-0.3924	4	189	309	35	2020.7714	39.7429	2.9476
1698	algorithms	0.5788	-0.4486	4	118	194	27	2017.6667	30.7778	1.8957
1941	analysis	0.1574	0.2332	2	189	286	26	2018.4231	17.5769	1.3279
1966	analytic	1.1921	-0.2954	4	113	234	28	2021.9286	7.1786	1.1727
2017	analytics	1.0297	-0.2921	4	229	636	151	2020.1192	11.6093	1.0455
2139	animal	-0.3418	0.6155	2	305	886	71	2018.8451	27.6197	1.8904
2146	animal experiment	-0.3219	0.5734	2	89	184	18	2019.2778	10.5556	0.7448
2151	animal husbandry	-0.257	0.6276	2	170	322	22	2019.2727	17.7727	1.3079
2163	animals	-0.23	0.551	2	326	953	85	2019.0588	23.3647	1.603
2369	anxiety	-0.9899	0.1183	3	281	651	38	2021.4737	8.2632	0.8584
2459	application programs	1.0117	-0.2451	4	109	169	43	2018.4884	16.3721	1.093
2517	aquaculture	0.0771	0.3736	2	129	176	28	2019.3214	13.5	1.1337
2706	article	-0.4569	-0.0582	3	880	14294	829	2020.2099	12.807	1.0797
2725	artificial intelligence	0.9312	-0.3226	4	421	1809	303	2021.0132	18.835	2.4425
2809	asia	-0.1162	0.3717	2	156	222	21	2018.9524	19.5714	1.3949
3023	attention	-0.1383	-0.2918	1	166	253	17	2019.8235	12.7059	1.283
3032	attitude	-0.485	0.2394	3	319	680	48	2019.875	19.5833	1.5762
3034	attitude of health personnel	-0.7696	-0.7434	1	202	496	23	2019	16.3913	1.4616
3039	attitude to death	-1.0885	-0.4769	1	101	207	10	2017.9	16.8	1.1511
3041	attitude to health	-1.0058	0.3351	3	398	1391	56	2019.2679	12.2321	0.9332
3149	australia	-0.1694	-0.1053	1	417	959	102	2019.4608	13.2451	1.2495
3311	automation	0.8277	-0.215	4	158	269	61	2019.623	11.4918	1.4379
3421	awareness	-0.5329	-0.0712	1	407	1038	61	2020.459	10.2295	1.0276
3626	bangladesh	-0.0827	0.6837	2	228	433	58	2019.8276	14.6379	1.1132
3894	behavior	-0.2455	0.2625	3	311	639	38	2018.9211	20.8158	1.2922
3899	behavior change	-0.3649	-0.0902	3	208	315	16	2019.5625	39.375	2.3874
3959	behavioral research	1.1299	-0.2442	4	286	951	145	2019.7931	12.8828	1.159
4039	benchmarking	1.0339	-0.212	4	158	260	44	2020.1591	12.6818	1.4336
4116	betacoronavirus	-0.8077	0.6706	3	138	267	10	2020	66.8	5.1941
4174	bibliometric analysis	0.6726	0.2188	2	111	176	62	2022.5968	15.4032	2.3751
4218	big data	1.1771	-0.0806	4	444	3768	616	2019.7873	23.638	1.9369
4226	big data analytic	1.319	-0.1388	4	137	443	47	2022.8723	9.4894	1.6092
