id	label	x	y	cluster	weight<Links>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
983	appiah-kubi s.	-0.9238	-0.3438	2	0	5	0	0	2015	0	0
1592	basco r.	0.9652	-0.084	3	0	7	371	22.1541	2018.4286	53	3.1649
2036	"birdthistle n.; hales r."	-0.1885	0.2295	4	0	12	11	2.9189	2022.5833	0.9167	0.2432
2925	cater j.j.	-0.2964	0.8917	5	0	6	126	7.632	2018.1667	21	1.272
3095	charan a.	-0.849	0.4285	6	0	5	0	0	2023	0	0
3188	"chen l.; zhu j.a.; fang h."	0.3174	-0.3522	7	0	13	2	0.1895	2021	0.1538	0.0146
3344	"chirico f.; melin l.; salvato c.; seidl d."	0.5621	-0.6546	8	0	5	2	0.1001	2015.2	0.4	0.02
3696	costa j.	-0.425	-0.3965	9	0	6	10	1.3725	2021	1.6667	0.2287
5287	"ferramosca s.; ghio a."	0.6451	0.1007	10	0	5	6	0.3733	2018	1.2	0.0747
5289	ferrari f.	0.6111	-0.24	11	0	13	62	8.882	2020.9231	4.7692	0.6832
5634	"gama a.p.m.; alves c.a."	-0.5754	0.1969	12	0	6	0	0	2021	0	0
5776	"gavana g.; gottardo p.; moisello a.m."	0.1218	0.2585	13	0	6	114	18.9701	2020.1667	19	3.1617
6931	"hernández-trasobares a.; galve-górriz c."	-0.6383	0.7418	14	0	5	43	2.7307	2016.8	8.6	0.5461
7160	hougaz l.	0.9168	0.3209	15	0	11	2	0.1001	2015	0.1818	0.0091
7402	iii	0.8664	-0.4812	16	0	7	183	13.1854	2018.7143	26.1429	1.8836
7951	jr.	-0.0357	-0.2566	1	1	21	158	10.218	2017.9048	7.5238	0.4866
8783	kormann h.	-0.0489	-0.9533	17	0	7	0	0	2021	0	0
8784	"kormann h.; suberg b."	0.1539	-0.6221	18	0	9	0	0	2021	0	0
8972	kumar b.r.	0.3427	-0.9263	19	0	8	0	0	2024	0	0
9058	"kuruppuge r.h.; gregar a."	-0.1728	-0.5888	20	0	6	22	1.4526	2017.5	3.6667	0.2421
9173	lahmiri s.	-0.4122	0.4844	21	0	6	148	9.9717	2017.5	24.6667	1.6619
9329	"le breton-miller i.; miller d."	0.327	0.0044	22	0	7	211	18.5047	2020	30.1429	2.6435
9795	liu h.	0.4356	0.8709	23	0	6	29	6.1236	2021.3333	4.8333	1.0206
9842	liu y.	0.2255	0.593	24	0	5	6	0.5238	2020	1.2	0.1048
12980	"petrescu m.; krishen a.s."	-0.6913	-0.6327	25	0	7	65	12.5424	2021	9.2857	1.7918
13818	ratten v.	0.4567	0.3643	26	0	11	43	5.9353	2021.0909	3.9091	0.5396
14397	"rüsen t.a.; kleve h.; von schlippe a."	-0.4144	-0.861	27	0	9	0	0	2021	0	0
14967	seaman c.	-0.6535	-0.1434	28	0	6	38	1.9025	2018.6667	6.3333	0.3171
15208	sharma s.	0.0605	0.9458	29	0	5	14	1.3464	2019.4	2.8	0.2693
15666	smith r.	-0.9574	0.0679	30	0	8	94	4.7499	2017.25	11.75	0.5937
16702	townsend e.	-0.3384	-0.0551	31	0	5	0	0	2021.2	0	0
17162	verhoef g.	-0.0955	0.5757	32	0	5	8	0.543	2019.2	1.6	0.1086
17291	"von schlippe a.; rüsen t.a.; groth t."	0.7034	0.6212	33	0	9	0	0	2021	0	0
17743	williams r.i.	0.0055	-0.1046	1	1	6	203	13.637	2018.5	33.8333	2.2728
