id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
12	afghanistan	-0.2734	0.7836	6	86	2850	5	15	0.8998	2019.8	3	0.18
18	albania	0.7156	0.0452	5	83	1403	16	16	4.3909	2021.6875	1	0.2744
19	algeria	1.1819	0.5464	5	54	413	6	37	2.6569	2019.1667	6.1667	0.4428
21	amp	0.4863	-0.5957	1	105	16023	9	7	9.602	2024	0.7778	1.0669
24	argentina	1.1278	-0.2732	4	110	23351	54	514	47.7259	2020.463	9.5185	0.8838
26	armenia	0.1634	-0.9646	8	96	5010	5	6	4.8058	2020.4	1.2	0.9612
30	australia	-0.7205	0.1797	2	119	525899	944	14288	1427.6202	2019.8157	15.1356	1.5123
31	austria	0.3083	-0.6661	1	119	363814	248	4930	428.5257	2019.7339	19.879	1.7279
33	bahrain	0.3221	0.5396	3	102	6259	22	93	10.3068	2021.4091	4.2273	0.4685
35	bangladesh	-0.5944	-0.156	3	115	55296	108	3276	331.2191	2021.0463	30.3333	3.0668
36	barbados	-0.8597	0.4944	2	97	6198	6	51	4.4936	2020.1667	8.5	0.7489
39	belarus	-0.0743	-1.2706	1	45	489	12	96	7.0228	2020.4167	8	0.5852
40	belgium	0.6208	-0.439	8	117	278708	189	3261	294.8916	2020.127	17.254	1.5603
41	benin	-0.507	-1.0895	1	32	232	5	4	0.5492	2022.4	0.8	0.1098
46	bosnia and herzegovina	0.2026	-0.2534	1	104	15938	23	186	19.1745	2020.5652	8.087	0.8337
47	botswana	-0.9816	-0.3983	2	57	460	7	144	16.1439	2018.8571	20.5714	2.3063
48	brazil	0.4794	0.0734	5	118	116007	375	2887	264.4306	2019.9893	7.6987	0.7051
49	brunei darussalam	0.4617	0.5369	3	83	2081	6	277	24.1524	2021.1667	46.1667	4.0254
50	bulgaria	-0.2212	-0.353	1	104	15289	45	113	11.0053	2020.8	2.5111	0.2446
57	cambodia	-1.592	0.1675	2	40	775	6	34	4.397	2020.1667	5.6667	0.7328
59	cameroon	-0.6549	0.4681	2	98	4321	10	56	6.0236	2020.2	5.6	0.6024
60	canada	0.2525	0.157	5	119	715522	702	12616	1146.0385	2019.8177	17.9715	1.6325
66	chile	0.8586	-0.4176	4	115	181820	152	1760	177.6832	2020.5066	11.5789	1.169
