id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>
4087	"abdellatif m., amann b., jaussaud j., family versus nonfamily business: a comparison of international strategies, journal of family business strategy, 1, 2, pp. 108-116, (2010)"	-0.8007	0.3565	5	393	681	32
8690	"adams r.b., ferreira d., women in the boardroom and their impact on governance and performance, journal of financial economics, 94, 2, pp. 291-309, (2009)"	-0.2783	-1.0036	3	238	407	34
10112	"adler p.s., kwon s.-w., social capital: prospects for a new concept, academy of management review, 27, 1, pp. 17-40, (2002)"	0.3477	0.3469	2	309	483	24
10124	"adler p.s., kwon s.w., social capital: prospects for a new concept, academy of management review, 27, 1, pp. 17-40, (2002)"	0.111	0.5549	2	550	1240	51
13923	"ahl h., why research on women entrepreneurs needs new directions, entrepreneurship theory and practice, 30, 5, pp. 595-621, (2006)"	1.1842	0.0929	1	214	424	76
15336	"ahrens j.-p., landmann a., woywode m., gender preferences in the ceo successions of family firms: family characteristics and human capital of the successor, journal of family business strategy, 6, 2, pp. 86-103, (2015)"	0.8861	-0.3503	1	371	579	21
15364	"ahrens j.p., landmann a., woywode m., gender preferences in the ceo successions of family firms: family characteristics and human capital of the successor, journal of family business strategy, 6, 2, pp. 86-103, (2015)"	1.2366	-0.3277	1	270	511	27
15785	"aiken l.s., west s.g., multiple regression: testing and interpreting interactions, (1991)"	-0.5531	0.4659	2	540	1133	75
16550	"ajzen i., the theory of planned behavior, organizational behavior and human decision processes, 50, 2, pp. 179-211, (1991)"	0.9197	0.2063	1	418	856	137
20086	"alayo m., maseda a., iturralde t., arzubiaga u., internationalization and entrepreneurial orientation of family smes: the influence of the family character, international business review, 28, 1, pp. 48-59, (2019)"	-0.8719	0.3734	5	378	660	35
21373	"aldrich h.e., brumana m., campopiano g., minola t., embedded but not asleep: entrepreneurship and family business research in the 21st century, journal of family business strategy, 12, 1, (2021)"	0.9883	-0.1441	1	374	621	24
21409	"aldrich h.e., cliff j.e., the pervasive effects of family on entrepreneurship: toward a family embeddedness perspective, journal of business venturing, 18, 5, pp. 573-596, (2003)"	0.6289	0.344	1	928	5754	290
21413	"aldrich h.e., cliff j.e., the pervasive effects of family on entrepreneurship: toward a family embeddedness perspective, journal of business venturing, 18, pp. 573-596, (2003)"	-0.0816	0.2826	6	320	511	62
21910	"alessandri t.m., cerrato d., eddleston k.a., the mixed gamble of internationalization in family and nonfamily firms: the moderating role of organizational slack, global strategy journal, 8, 1, pp. 46-72, (2018)"	-1.2281	-0.0612	5	479	1232	41
24537	"allen n.j., meyer j.p., the measurement and antecedents of affective, continuance and normative commitment to the organization, journal of occupational psychology, 63, 1, pp. 1-18, (1990)"	0.6479	0.1059	1	275	466	26
25138	"allouche j., amann b., jaussaud j., kurashina t., the impact of family control on the performance and financial characteristics of family versus nonfamily businesses in japan: a matched-pair investigation, family business review, 21, 4, pp. 315-329, (2008)"	-1.0086	-0.1488	3	338	613	28
28774	"amann b., jaussaud j., family and non-family business resilience in an economic downturn, asia pacific business review, 18, 2, pp. 203-223, (2012)"	-0.0279	-0.0408	3	380	670	44
30526	"amore m.d., garofalo o., minichilli a., gender interactions within the family firm, management science, 60, 5, pp. 1083-1097, (2014)"	0.5605	-0.6484	1	370	674	30
32232	"anderson a.r., jack s.l., dodd s.d., the role of family members in entrepreneurial networks: beyond the boundaries of the family firm, family business review, 18, 2, pp. 135-154, (2005)"	0.5494	0.5279	1	477	911	39
32731	"anderson j.c., gerbing d.w., structural equation modeling in practice: a review and recommended two-step approach, psychological bulletin, 103, 3, pp. 411-423, (1988)"	0.0497	0.7158	2	319	507	38
33259	"anderson r.c., duru a., reeb d.m., investment policy in family controlled firms, journal of banking & finance, 36, 6, pp. 1744-1758, (2012)"	-1.1124	-0.1946	3	368	670	26
33303	"anderson r.c., mansi s.a., reeb d.m., founding family ownership and the agency cost of debt, journal of financial economics, 68, 2, pp. 263-285, (2003)"	-0.8299	-0.3293	3	597	1445	74
33348	"anderson r.c., reeb d.m., board composition: balancing family influence in s&p 500 firms, administrative science quarterly, 49, 2, pp. 209-237, (2004)"	-0.7793	-0.4244	3	777	2748	105
33447	"anderson r.c., reeb d.m., founding-family ownership and firm performance: evidence from the s&p 500, journal of finance, 58, 3, pp. 1301-1328, (2003)"	-0.691	-0.5839	3	595	1477	70
33457	"anderson r.c., reeb d.m., founding-family ownership and firm performance: evidence from the s&p 500, the journal of finance, 58, 3, pp. 1301-1327, (2003)"	-0.6313	0.2055	3	388	643	26
33458	"anderson r.c., reeb d.m., founding-family ownership and firm performance: evidence from the s&p 500, the journal of finance, 58, 3, pp. 1301-1328, (2003)"	-0.5769	-0.4042	3	867	4152	182
33528	"anderson r.c., reeb d.m., founding‐family ownership and firm performance: evidence from the s&p 500, the journal of finance, 58, 3, pp. 1301-1328, (2003)"	-0.3779	-0.4244	3	369	618	35
33933	"andersson t., carlsen j., getz d., family business goals in the tourism and hospitality sector: case studies and cross-case analysis from australia, canada, and sweden, family business review, 15, 2, pp. 89-106, (2002)"	0.1883	0.4758	2	324	538	26
34509	"andres c., large shareholders and firm performance—an empirical examination of founding-family ownership, journal of corporate finance, 14, 4, pp. 431-445, (2008)"	-0.7903	-0.7225	3	290	496	21
35229	"ang j.s., cole r.a., lin j.w., agency costs and ownership structure, the journal of finance, 55, 1, pp. 81-106, (2000)"	-0.635	-0.4869	3	318	525	21
38124	"aparicio g., basco r., iturralde t., maseda a., an exploratory study of firm goals in the context of family firms: an institutional logics perspective, journal of family business strategy, 8, 3, pp. 157-169, (2017)"	-0.0514	-0.3935	4	379	573	32
41656	"armstrong j.s., overton t.s., estimating nonresponse bias in mail surveys, journal of marketing research, 14, 3, pp. 396-402, (1977)"	-0.059	0.6645	2	598	1373	55
42579	"arosa b., iturralde t., maseda a., outsiders on the board of directors and firm performance: evidence from spanish non-listed family firms, journal of family business strategy, 1, 4, pp. 236-245, (2010)"	-0.9184	-0.0884	3	377	700	32
42590	"arosa b., iturralde t., maseda a., ownership structure and firm performance in non-listed firms: evidence from spain, journal of family business strategy, 1, 2, pp. 88-96, (2010)"	-0.469	-0.6667	3	442	811	35
42784	"arregle j., hitt m.a., sirmon d.g., very p., the development of organizational social capital: attributes of family firms, journal of management studies, 44, 1, pp. 73-95, (2007)"	-0.0618	0.633	2	371	603	30
42860	"arregle j.-l., hitt m.a., sirmon d.g., very p., the development of organizational social capital: attributes of family firms, journal of management studies, 44, 1, pp. 73-95, (2007)"	-0.1313	0.0511	5	742	2101	78
42915	"arregle j.l., chirico f., kano l., kundu s.k., majocchi a., schulze w.s., family firm internationalization: past research and an agenda for the future, journal of international business studies, 52, 6, pp. 1159-1198, (2021)"	-1.2189	0.0294	5	279	532	21
43004	"arregle j.l., hitt m.a., sirmon d.g., very p., the development of organizational social capital: attributes of family firms, journal of management studies, 44, 1, pp. 73-95, (2007)"	-0.1702	0.119	2	951	5614	204
43034	"arregle j.l., naldi l., nordqvist m., hitt m.a., internationalization of family-controlled firms: a study of the effects of external involvement in governance, entrepreneurship theory and practice, 36, 6, pp. 1115-1143, (2012)"	-0.9609	0.1071	5	491	1085	34
43178	"arrondo-garcia r., fernandez-mendez c., menendez-requejo s., the growth and performance of family businesses during the global financial crisis: the role of the generation in control, journal of family business strategy, 7, 4, pp. 227-237, (2016)"	-0.5314	-0.1527	3	464	912	48
43541	"arteaga r., menendez-requejo s., family constitution and business performance: moderating factors, family business review, 30, 4, pp. 320-338, (2017)"	0.0913	-0.3939	1	411	650	29
44208	"arzubiaga u., kotlar j., de massis a., maseda a., iturralde t., entrepreneurial orientation and innovation in family smes: unveiling the (actual) impact of the board of directors, journal of business venturing, 33, 4, pp. 455-469, (2018)"	-0.3049	0.3214	2	558	1163	37
45025	"ashforth b.e., mael f., social identity theory and the organization, academy of management review, 14, 1, pp. 20-39, (1989)"	0.5151	-0.2183	1	505	985	41
45447	"ashwin a.s., krishnan r.t., george r., family firms in india: family involvement, innovation and agency and stewardship behaviors, asia pacific journal of management, 32, 4, pp. 869-900, (2015)"	-0.9696	0.4989	2	358	682	24
46539	"astrachan c.b., botero i., astrachan j.h., prugl r., branding the family firm: a review, integrative framework proposal, and research agenda, journal of family business strategy, 9, 1, pp. 3-15, (2018)"	0.2472	-0.8867	4	359	672	31
46565	"astrachan c.b., patel v.k., wanzenried g., a comparative study of cb-sem and pls-sem for theory development in family firm research, journal of family business strategy, 5, 1, pp. 116-128, (2014)"	0.0149	0.4345	2	384	631	23
46756	"astrachan j.h., commentary on the special issue: the emergence of a field, journal of business venturing, 18, 5, pp. 567-572, (2003)"	0.645	0.2105	1	333	525	23
46785	"astrachan j.h., jaskiewicz p., emotional returns and emotional costs in privately held family businesses: advancing traditional business valuation, family business review, 21, 2, pp. 139-149, (2008)"	0.1928	-0.2959	1	802	2885	99
46829	"astrachan j.h., klein s.b., smyrnios k.x., the f-pec scale of family influence: a proposal for solving the family business definition problem, family business review, 15, 1, pp. 45-58, (2002)"	-0.0328	0.1411	3	842	3163	129
46845	"astrachan j.h., klein s.b., smyrnios k.x., the f-pec scale of family influence: a proposal for solving the family business definition problem1, family business review, 15, 1, pp. 45-58, (2002)"	-0.0142	-0.2336	3	431	671	27
46886	"astrachan j.h., kolenko t.a., a neglected factor explaining family business success: human resource practices, family business review, 7, 3, pp. 251-262, (1994)"	0.3671	-0.1602	1	598	1321	59
46965	"astrachan j.h., shanker m.c., family businesses' contribution to the us economy: a closer look, family business review, 16, 3, pp. 211-219, (2003)"	0.2815	0.2935	1	510	955	47
46989	"astrachan j.h., shanker m.c., family businesses’ contribution to the u.s. economy: a closer look, family business review, 16, 3, pp. 211-219, (2003)"	-0.4211	0.1391	3	411	607	29
47000	"astrachan j.h., shanker m.c., family businesses’ contribution to the us economy: a closer look, family business review, 16, 3, pp. 211-219, (2003)"	0.2597	-0.1845	4	645	1541	73
47019	"astrachan j.h., strategy in family business: toward a multidimensional research agenda, journal of family business strategy, 1, 1, pp. 6-14, (2010)"	0.3527	0.0991	1	785	2402	106
47044	"astrachan j.h., zahra s.a., sharma p., family-sponsored ventures, (2003)"	0.396	0.2477	1	321	477	23
54393	"bagozzi r.p., yi y., on the evaluation of structural equation models, journal of the academy of marketing science, 16, 1, pp. 74-94, (1988)"	-0.1398	0.5956	2	331	521	44
58575	"bammens y., voordeckers w., van gils a., boards of directors in family businesses: a literature review and research agenda, international journal of management reviews, 13, 2, pp. 134-152, (2011)"	-0.6984	-0.4874	3	591	1517	58
58590	"bammens y., voordeckers w., van gils a., boards of directors in family firms: a generational perspective, small business economics, 31, 2, pp. 163-180, (2008)"	-0.5934	0.0259	3	569	1370	47
58690	"banalieva e.r., eddleston k.a., home-region focus and performance of family firms: the role of family vs non-family leaders, journal of international business studies, 42, 8, pp. 1060-1072, (2011)"	-1.212	0.0897	5	437	1016	39
60619	"barach j.a., ganitsky j.b., successful succession in family business, family business review, 8, 2, pp. 131-155, (1995)"	1.1213	0.0946	1	366	657	34
63108	"barnett t., kellermanns f.w., are we family and are we treated as family? nonfamily employees' perceptions of justice in the family firm, entrepreneurship theory and practice, 30, 6, pp. 837-854, (2006)"	0.1676	-0.8537	4	321	582	27
63116	"barnett t., kellermanns f.w., are we family and are we treated as family? nonfamily employees’ perceptions of justice in the family firm, entrepreneurship theory and practice, 30, 6, pp. 837-854, (2006)"	0.5793	-0.641	4	503	992	37
63225	"barney j., firm resources and sustained competitive advantage, journal of management, 17, 1, pp. 99-120, (1991)"	-0.1561	0.5453	2	909	4768	276
63311	"barney j.b., firm resources and sustained competitive advantage, journal of management, 17, 1, pp. 99-120, (1991)"	-0.293	0.459	2	641	1609	94
63820	"baron r.a., the role of affect in the entrepreneurial process, academy of management review, 33, 2, pp. 328-340, (2008)"	0.1773	-0.3848	5	422	838	36
63861	"baron r.m., kenny d.a., the moderator-mediator variable distinction in social psychological research: conceptual, strategic, and statistical considerations, journal of personality and social psychology, 51, 6, pp. 1173-1182, (1986)"	-0.486	0.4005	2	337	539	32
63977	"barontini r., caprio l., the effect of family control on firm value and performance: evidence from continental europe, european financial management, 12, 5, pp. 689-723, (2006)"	-0.9546	-0.7064	3	430	1077	57
64863	"barros i., hernangomez j., martin-cruz n., a theoretical model of strategic management of family firms. a dynamic capabilities approach, journal of family business strategy, 7, 3, pp. 149-159, (2016)"	0.0787	0.7129	2	434	771	24
66415	"basco r., calabro a., campopiano g., transgenerational entrepreneurship around the world: implications for family business research and practice, journal of family business strategy, 10, 4, (2019)"	0.532	0.0991	1	534	917	42
66480	"basco r., exploring the influence of the family upon firm performance: does strategic behaviour matter?, international small business journal, 32, 8, pp. 967-995, (2014)"	0.0782	-0.1192	4	456	742	34
66516	"basco r., family business and regional development—a theoretical model of regional familiness, journal of family business strategy, 6, 4, pp. 259-271, (2015)"	-0.0784	-0.2787	4	356	544	30
66569	"basco r., perez rodriguez m.j., ideal types of family business management: horizontal fit between family and business decisions and the relationship with family business performance, journal of family business strategy, 2, 3, pp. 151-165, (2011)"	-0.3566	0.0588	3	303	501	23
66602	"basco r., rodriguez m.j.p., ideal types of family business management: horizontal fit between family and business decisions and the relationship with family business performance, journal of family business strategy, 2, 3, pp. 151-165, (2011)"	0.2478	-0.3492	1	387	623	21
66643	"basco r., the family's effect on family firm performance: a model testing the demographic and essence approaches, journal of family business strategy, 4, 1, pp. 42-66, (2013)"	-0.3683	-0.0321	3	560	1133	48
66657	"basco r., the family’s effect on family firm performance: a model testing the demographic and essence approaches, journal of family business strategy, 4, 1, pp. 42-66, (2013)"	-0.5174	-0.029	5	383	639	26
68923	"bau m., chirico f., pittino d., backman m., klaesson j., roots to grow: family firms and local embeddedness in rural and urban contexts, entrepreneurship theory and practice, 43, 2, pp. 360-385, (2019)"	-0.1913	-0.4053	5	460	922	43
71981	"beck l., janssens w., debruyne m., lommelen t., a study of the relationships between generation, market orientation, and innovation in family firms, family business review, 24, 3, pp. 252-272, (2011)"	-0.2921	0.8499	2	537	1338	54
72061	"beck s., prugl r., family firm reputation and humanization: consumers and the trust advantage of family firms under different conditions of brand familiarity, family business review, 31, 4, pp. 460-482, (2018)"	0.2552	-0.9014	4	360	790	42
72993	"beckhard r., dyer w.g., managing continuity in the family-owned business, organizational dynamics, 12, 1, pp. 5-12, (1983)"	0.7283	0.2448	1	372	634	32
73360	"bee c., neubaum d.o., the role of cognitive appraisal and emotions of family members in the family business system, journal of family business strategy, 5, 3, pp. 323-333, (2014)"	0.7258	-0.4872	1	385	633	27
73482	"beehr t.a., drexler j.a., faulkner s., working in small family businesses: empirical comparisons to non-family businesses, journal of organizational behavior, 18, 3, pp. 297-312, (1997)"	0.5659	-0.4132	1	386	617	22
76635	"benavides-velasco c.a., quintana-garcia c., guzman-parra v.f., trends in family business research, small business economics, 40, 1, pp. 41-57, (2013)"	0.2248	0.0212	4	643	1330	58
77702	"bennedsen m., foss n., family assets and liabilities in the innovation process, california management review, 58, 1, pp. 65-81, (2015)"	-0.5469	0.7096	2	417	723	25
77809	"bennedsen m., nielsen k.m., perez-gonzalez f., wolfenzon d., inside the family firm: the role of families in succession decisions and performance, quarterly journal of economics, 122, 2, pp. 647-691, (2007)"	-0.3322	-0.5681	3	386	661	27
77813	"bennedsen m., nielsen k.m., perez-gonzalez f., wolfenzon d., inside the family firm: the role of families in succession decisions and performance, the quarterly journal of economics, 122, 2, pp. 647-691, (2007)"	0.0701	-0.6183	3	655	1613	66
79212	"berent-braun m.m., uhlaner l.m., family governance practices and teambuilding: paradox of the enterprising family, small business economics, 38, 1, pp. 103-119, (2012)"	0.2878	-0.3325	1	471	814	28
81553	"bernhard f., o'driscoll m.p., psychological ownership in small family-owned businesses: leadership style and nonfamily-employees’ work attitudes and behaviors, group & organization management, 36, 3, pp. 345-384, (2011)"	0.6615	-0.2296	1	335	479	20
82091	"berrone p., cruz c., gomez-mejia l.r., larraza-kintana m., socioemotional wealth and corporate responses to institutional pressures: do family-controlled firms pollute less?, administrative science quarterly, 55, 1, pp. 82-113, (2010)"	-0.2801	-0.6529	4	952	6619	254
82092	"berrone p., cruz c., gomez-mejia l.r., larraza-kintana m., socioemotional wealth and corporate responses to institutional pressures: do family-controlled firms pollute less?, administrative science quarterly, 55, pp. 82-113, (2010)"	-0.6335	0.3407	6	260	458	48
82124	"berrone p., cruz c., gomez-mejia l.r., socioemotional wealth in family firms theoretical dimensions, assessment approaches, and agenda for future research, family business review, 25, 3, pp. 258-279, (2012)"	-0.2499	0.0014	5	702	1976	81
82170	"berrone p., cruz c., gomez-mejia l.r., socioemotional wealth in family firms: theoretical dimensions, assessment approaches, and agenda for future research, family business review, 25, 3, pp. 258-279, (2012)"	-0.3109	-0.2712	5	993	13151	552
82171	"berrone p., cruz c., gomez-mejia l.r., socioemotional wealth in family firms: theoretical dimensions, assessment approaches, and agenda for future research, family business review, 25, pp. 258-279, (2012)"	-0.7097	0.3975	6	267	561	85
83054	"bertrand m., johnson s., samphantharak k., schoar a., mixing family with business: a study of thai business groups and the families behind them, journal of financial economics, 88, 3, pp. 466-498, (2008)"	-0.5447	-0.6162	3	442	854	50
83136	"bertrand m., schoar a., the role of family in family firms, journal of economic perspectives, 20, 2, pp. 73-96, (2006)"	-0.3589	-0.4398	3	777	2381	127
83144	"bertrand m., schoar a., the role of family in family firms, the journal of economic perspectives, 20, 2, pp. 73-96, (2006)"	-0.5687	-0.1081	3	560	1147	55
83194	"bertschi-michel a., kammerlander n., strike v.m., unearthing and alleviating emotions in family business successions, entrepreneurship theory and practice, 44, 1, pp. 81-108, (2020)"	0.8939	-0.4313	1	361	628	33
83888	"bettinelli c., boards of directors in family firms: an exploratory study of structure and group process, family business review, 24, 2, pp. 151-169, (2011)"	-0.4379	-0.444	3	409	749	32
85679	"bhaumik s.k., driffield n., pal s., does ownership structure of emerging-market firms affect their outward fdi? the case of the indian automotive and pharmaceutical sectors, journal of international business studies, 41, 3, pp. 437-450, (2010)"	-1.454	0.1459	5	282	557	24
88108	"bingham j.b., dyer w.g., smith i., adams g.l., a stakeholder identity orientation approach to corporate social performance in family firms, journal of business ethics, 99, 4, pp. 565-585, (2011)"	-0.1851	-1.124	4	389	880	40
88348	"binz c., hair j.f., pieper t.m., baldauf a., exploring the effect of distinct family firm reputation on consumers’ preferences, journal of family business strategy, 4, 1, pp. 3-11, (2013)"	0.272	-0.8007	4	447	974	40
88644	"bird b., welsch h., astrachan j.h., pistrui d., family business research: the evolution of an academic field, family business review, 15, 4, pp. 337-350, (2002)"	0.499	-0.2301	1	594	1163	60
88698	"bird m., wennberg k., regional influences on the prevalence of family versus non-family start-ups, journal of business venturing, 29, 3, pp. 421-436, (2014)"	-0.2986	0.1459	5	482	943	42
88717	"bird m., zellweger t., relational embeddedness and firm growth: comparing spousal and sibling entrepreneurs, organization science, 29, 2, pp. 264-283, (2018)"	0.3558	-0.4621	1	312	513	25
90042	"bjornberg a., nicholson n., emotional ownership: the next generation's relationship with the family firm, family business review, 25, 4, pp. 374-390, (2012)"	0.8243	-0.3949	1	367	533	25
90049	"bjornberg a., nicholson n., emotional ownership: the next generation’s relationship with the family firm, family business review, 25, 4, pp. 374-390, (2012)"	0.5904	-0.3624	1	403	630	27
92511	"block j., family management, family ownership, and downsizing: evidence from s&p 500 firms, family business review, 23, 2, pp. 109-130, (2010)"	-0.2399	-0.7687	4	524	1162	45
92577	"block j., miller d., jaskiewicz p., spiegel f., economic and technological importance of innovations in large family and founder firms: an analysis of patent data, family business review, 26, 2, pp. 180-199, (2013)"	-0.4762	0.8833	2	526	1338	47
92735	"block j.h., r&d investments in family and founder firms: an agency perspective, journal of business venturing, 27, 2, pp. 248-265, (2012)"	-0.6718	0.7005	2	766	3310	110
92747	"block j.h., spiegel f., family firm density and regional innovation output: an exploratory analysis, journal of family business strategy, 4, 4, pp. 270-280, (2013)"	-0.5066	0.6056	2	362	657	24
